block,lot,date,longitude,latitude
1895,45,"""2009-02-19T00:00:00.000Z""",-73.86615292037123,40.73916219327175
1997,18,"""2012-03-14T00:00:00.000Z""",-73.95660319703418,40.682291275605515
1497,48,"""2013-03-07T00:00:00.000Z""",-73.88786557361152,40.74377919761132
1497,48,"""2011-03-03T00:00:00.000Z""",-73.88786557361152,40.74377919761132
1497,48,"""2013-03-07T00:00:00.000Z""",-73.88786557361152,40.74377919761132
1497,48,"""2013-03-07T00:00:00.000Z""",-73.88786557361152,40.74377919761132
1996,56,"""1983-06-07T00:00:00.000Z""",-73.95570159228852,40.682836128958485
1996,56,"""2012-07-26T00:00:00.000Z""",-73.95570159228852,40.682836128958485
1996,56,"""2012-03-14T00:00:00.000Z""",-73.95570159228852,40.682836128958485
1996,56,"""2012-02-08T00:00:00.000Z""",-73.95570159228852,40.682836128958485
1996,56,"""1983-06-07T00:00:00.000Z""",-73.95570159228852,40.682836128958485
1986,1,"""2006-03-21T00:00:00.000Z""",-73.9563987620457,40.8175821894314
1986,1,"""2012-02-08T00:00:00.000Z""",-73.9563987620457,40.8175821894314
1997,27,"""2006-02-15T00:00:00.000Z""",-73.85610342539285,40.7504689919533
1997,27,"""2012-02-08T00:00:00.000Z""",-73.85610342539285,40.7504689919533
2255,2000,"""2014-06-06T00:00:00.000Z""",-73.92569223490548,40.873487162605144
2255,2000,"""2014-06-06T00:00:00.000Z""",-73.92569223490548,40.873487162605144
2255,2000,"""2014-06-06T00:00:00.000Z""",-73.92569223490548,40.873487162605144
2255,2000,"""2014-06-06T00:00:00.000Z""",-73.92569223490548,40.873487162605144
2255,2000,"""2014-06-06T00:00:00.000Z""",-73.92569223490548,40.873487162605144
2255,2000,"""2014-06-06T00:00:00.000Z""",-73.92569223490548,40.873487162605144
2255,2000,"""2014-06-06T00:00:00.000Z""",-73.92569223490548,40.873487162605144
2785,40,"""1969-02-13T00:00:00.000Z""",-73.91113904435596,40.8374161200507
2785,40,"""1968-09-25T00:00:00.000Z""",-73.91113904435596,40.8374161200507
2785,40,"""1969-02-13T00:00:00.000Z""",-73.91113904435596,40.8374161200507
2785,40,"""1968-09-25T00:00:00.000Z""",-73.91113904435596,40.8374161200507
2785,40,"""1969-02-13T00:00:00.000Z""",-73.91113904435596,40.8374161200507
2785,40,"""1968-09-25T00:00:00.000Z""",-73.91113904435596,40.8374161200507
2785,40,"""1969-02-13T00:00:00.000Z""",-73.91113904435596,40.8374161200507
2785,40,"""1968-09-25T00:00:00.000Z""",-73.91113904435596,40.8374161200507
2785,40,"""1969-02-13T00:00:00.000Z""",-73.91113904435596,40.8374161200507
2785,40,"""1968-09-25T00:00:00.000Z""",-73.91113904435596,40.8374161200507
2785,40,"""1969-02-13T00:00:00.000Z""",-73.91113904435596,40.8374161200507
